NOC,Games,Year,Season,City,Sport,Event,Medal,NOC_Year_Event_Medal,region
USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Pole Vault,Gold,USA1928Athletics Men's Pole VaultGold,USA
ARG,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold,ARG2016Sailing Mixed MultihullGold,Argentina
ITA,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 20 kilometres,Silver,ITA1998Biathlon Men's 20 kilometresSilver,Italy
FRA,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Trap,Silver,FRA1972Shooting Mixed TrapSilver,France
USA,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Bantamweight,Bronze,USA1972Boxing Men's BantamweightBronze,USA
AUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Road Race, Individual",Gold,"AUS2004Cycling Women's Road Race, IndividualGold",Australia
CUB,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Heavyweight,Silver,CUB1972Boxing Men's Light-HeavyweightSilver,Cuba
NZL,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold,"NZL2012Canoeing Women's Kayak Singles, 200 metresGold",New Zealand
NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold,"NZL2016Canoeing Women's Kayak Singles, 200 metresGold",New Zealand
NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze,"NZL2016Canoeing Women's Kayak Singles, 500 metresBronze",New Zealand
USA,1920 Summer,1920,Summer,Antwerpen,Rugby,Rugby Men's Rugby,Gold,USA1920Rugby Men's RugbyGold,USA
USA,1948 Winter,1948,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Two,Bronze,USA1948Bobsleigh Men's TwoBronze,USA
IRL,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Gold,IRL1992Boxing Men's WelterweightGold,Ireland
USA,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Pairs,Silver,USA1984Figure Skating Mixed PairsSilver,USA
AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,AUS1996Hockey Men's HockeyBronze,Australia
GBR,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 200 metres Breaststroke,Bronze,GBR1924Swimming Women's 200 metres BreaststrokeBronze,UK
RSA,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,Gold,RSA1932Boxing Men's Light-HeavyweightGold,South Africa
NZL,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Men's Olympic Distance,Gold,NZL2004Triathlon Men's Olympic DistanceGold,New Zealand
USA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 200 metres Breaststroke,Silver,USA1948Swimming Men's 200 metres BreaststrokeSilver,USA
USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Gold,USA2016Athletics Women's Shot PutGold,USA
USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,Silver,USA1984Athletics Men's Shot PutSilver,USA
USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 100 metres,Silver,USA1904Athletics Men's 100 metresSilver,USA
USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 200 metres,Silver,USA1904Athletics Men's 200 metresSilver,USA
USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 200 metres,Bronze,USA1908Athletics Men's 200 metresBronze,USA
USA,1908 Summer,1908,Summer,London,Athletics,"Athletics Men's 1,600 metres Medley Relay",Gold,"USA1908Athletics Men's 1,600 metres Medley RelayGold",USA
GER,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze,GER1996Weightlifting Men's Middle-HeavyweightBronze,Germany
USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,Silver,USA1968Athletics Men's High JumpSilver,USA
USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,USA2000Swimming Men's 4 x 200 metres Freestyle RelaySilver,USA
ITA,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,"ITA1980Equestrianism Mixed Three-Day Event, TeamSilver",Italy
ESP,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,Silver,ESP1988Tennis Men's DoublesSilver,Spain
CUB,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Gold,CUB1992Boxing Men's BantamweightGold,Cuba
CUB,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 110 metres Hurdles,Silver,CUB1976Athletics Men's 110 metres HurdlesSilver,Cuba
CUB,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 110 metres Hurdles,Silver,CUB1980Athletics Men's 110 metres HurdlesSilver,Cuba
ARG,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Featherweight,Gold,ARG1936Boxing Men's FeatherweightGold,Argentina
EUN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Middleweight,Gold,EUN1992Weightlifting Men's MiddleweightGold,Russia
ITA,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",Gold,"ITA1992Cycling Men's Road Race, IndividualGold",Italy
GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,Silver,GRE1896Tennis Men's SinglesSilver,Greece
GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Silver,GRE1896Tennis Men's DoublesSilver,Greece
GRE,1906 Summer,1906,Summer,Athina,Tennis,Tennis Mixed Doubles,Bronze,GRE1906Tennis Mixed DoublesBronze,Greece
ITA,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Sabre, Team",Bronze,"ITA1996Fencing Men's Sabre, TeamBronze",Italy
USA,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",Silver,"USA1908Shooting Men's Free Rifle, 1,000 YardsSilver",USA
USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Triple Jump,Silver,USA1928Athletics Men's Triple JumpSilver,USA
USA,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze,"USA1994Short Track Speed Skating Women's 3,000 metres RelayBronze",USA
TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,Gold,TCH1964Gymnastics Women's Individual All-AroundGold,Czech Republic
TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Silver,TCH1964Gymnastics Women's Team All-AroundSilver,Czech Republic
TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,Gold,TCH1964Gymnastics Women's Horse VaultGold,Czech Republic
TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,Gold,TCH1964Gymnastics Women's Balance BeamGold,Czech Republic
TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around,Gold,TCH1968Gymnastics Women's Individual All-AroundGold,Czech Republic
TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,Silver,TCH1968Gymnastics Women's Team All-AroundSilver,Czech Republic
TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,Gold,TCH1968Gymnastics Women's Floor ExerciseGold,Czech Republic
TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,Gold,TCH1968Gymnastics Women's Horse VaultGold,Czech Republic
TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,Gold,TCH1968Gymnastics Women's Uneven BarsGold,Czech Republic
TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Balance Beam,Silver,TCH1968Gymnastics Women's Balance BeamSilver,Czech Republic
GER,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Individual",Silver,"GER1928Fencing Men's Foil, IndividualSilver",Germany
GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Sabre, Team",Bronze,"GER1936Fencing Men's Sabre, TeamBronze",Germany
GER,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",Silver,"GER1906Fencing Men's Foil, IndividualSilver",Germany
GER,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Silver,"GER1906Fencing Men's Sabre, IndividualSilver",Germany
GER,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual, Three Hits",Gold,"GER1906Fencing Men's Sabre, Individual, Three HitsGold",Germany
GER,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",Gold,"GER1906Fencing Men's Sabre, TeamGold",Germany
ITA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",Bronze,"ITA2004Fencing Men's Foil, IndividualBronze",Italy
ITA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Foil, Team",Gold,"ITA2004Fencing Men's Foil, TeamGold",Italy
ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,Gold,ITA2004Gymnastics Men's Horizontal BarGold,Italy
ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze,ITA2016Rowing Men's Coxless FoursBronze,Italy
FRA,1900 Summer,1900,Summer,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Silver,"FRA1900Athletics Men's 5,000 metres, TeamSilver",France
ESP,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,"ESP2004Cycling Men's Team Pursuit, 4,000 metresBronze",Spain
ARG,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Bronze,ARG1988Volleyball Men's VolleyballBronze,Argentina
ITA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,ITA1932Athletics Men's 4 x 100 metres RelayBronze,Italy
DEN,1912 Summer,1912,Summer,Stockholm,Tennis,"Tennis Women's Singles, Covered Courts",Silver,"DEN1912Tennis Women's Singles, Covered CourtsSilver",Denmark
CUB,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Heavyweight,Silver,CUB2008Judo Women's Half-HeavyweightSilver,Cuba
AUS,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold,AUS2000Water Polo Women's Water PoloGold,Australia
USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 200 metres Hurdles,Silver,USA1904Athletics Men's 200 metres HurdlesSilver,USA
USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Bronze,USA2016Athletics Women's 100 metres HurdlesBronze,USA
CUB,1980 Summer,1980,Summer,Moskva,Shooting,Shooting Mixed Skeet,Bronze,CUB1980Shooting Mixed SkeetBronze,Cuba
VEN,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Featherweight,Bronze,VEN1984Boxing Men's FeatherweightBronze,Venezuela
ITA,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Single Sculls,Bronze,ITA1948Rowing Men's Single ScullsBronze,Italy
CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's High Jump,Gold,CAN1928Athletics Women's High JumpGold,Canada
USA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Silver,USA2016Cycling Women's Team PursuitSilver,USA
HAI,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Long Jump,Silver,HAI1928Athletics Men's Long JumpSilver,Haiti
ITA,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Bronze,ITA1924Rowing Men's Coxed EightsBronze,Italy
RSA,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Featherweight,Silver,RSA1936Boxing Men's FeatherweightSilver,South Africa
FRA,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Individual",Silver,"FRA1920Fencing Men's Foil, IndividualSilver",France
FRA,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Foil, Individual",Silver,"FRA1924Fencing Men's Foil, IndividualSilver",France
FRA,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Foil, Team",Gold,"FRA1924Fencing Men's Foil, TeamGold",France
FRA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team",Silver,"FRA1928Fencing Men's Foil, TeamSilver",France
FRA,1920 Summer,1920,Summer,Antwerpen,Equestrianism,"Equestrianism Men's Vaulting, Team",Silver,"FRA1920Equestrianism Men's Vaulting, TeamSilver",France
USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Individual Medley,Gold,USA1984Swimming Women's 200 metres Individual MedleyGold,USA
USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Individual Medley,Gold,USA1984Swimming Women's 400 metres Individual MedleyGold,USA
USA,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Lightweight,Bronze,USA1996Boxing Men's LightweightBronze,USA
FRA,1900 Summer,1900,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze,"FRA1900Shooting Men's Free Rifle, Three Positions, 300 metres, TeamBronze",France
ITA,1928 Summer,1928,Summer,Amsterdam,Boxing,Boxing Men's Flyweight,Bronze,ITA1928Boxing Men's FlyweightBronze,Italy
ITA,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Sabre, Team",Bronze,"ITA1988Fencing Men's Sabre, TeamBronze",Italy
ITA,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Two Person Keelboat,Bronze,ITA1968Sailing Mixed Two Person KeelboatBronze,Italy
CRO,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Gold,CRO1996Handball Men's HandballGold,Croatia
GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Omnium,Silver,GBR2016Cycling Men's OmniumSilver,UK
SRB,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Butterfly,Silver,SRB2008Swimming Men's 100 metres ButterflySilver,Serbia
USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA1964Athletics Men's 400 metres HurdlesGold,USA
GBR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's Long Jump,Bronze,GBR1952Athletics Women's Long JumpBronze,UK
GBR,1908 Summer,1908,Summer,London,Tennis,Tennis Men's Doubles,Bronze,GBR1908Tennis Men's DoublesBronze,UK
ROU,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Pairs,Bronze,ROU1972Rowing Men's Coxed PairsBronze,Romania
ITA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Super G,Gold,ITA2002Alpine Skiing Women's Super GGold,Italy
RSA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Pairs,Bronze,RSA2004Rowing Men's Coxless PairsBronze,South Africa
SWE,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 400 metres Freestyle,Silver,SWE1960Swimming Women's 400 metres FreestyleSilver,Sweden
USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,"USA2008Wrestling Men's Featherweight, FreestyleGold",USA
YUG,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Pairs,Bronze,YUG1980Rowing Men's Coxed PairsBronze,Serbia
USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Bronze,"USA2010Short Track Speed Skating Men's 1,500 metresBronze",USA
USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,"USA2010Short Track Speed Skating Men's 5,000 metres RelayBronze",USA
USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",Gold,"USA2016Athletics Men's 1,500 metresGold",USA
SLO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,Bronze,SLO2004Athletics Women's 800 metresBronze,Slovenia
URS,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Heavyweight,Silver,URS1968Boxing Men's HeavyweightSilver,Russia
YUG,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,YUG1964Gymnastics Men's Horizontal BarBronze,Serbia
YUG,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,YUG1964Gymnastics Men's Pommelled HorseGold,Serbia
YUG,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,YUG1968Gymnastics Men's Pommelled HorseGold,Serbia
FRA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Bronze,"FRA1984Fencing Men's Foil, TeamBronze",France
ITA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Individual",Bronze,"ITA1984Fencing Men's Foil, IndividualBronze",Italy
ITA,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Foil, Individual",Gold,"ITA1988Fencing Men's Foil, IndividualGold",Italy
YUG,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Silver,YUG1968Basketball Men's BasketballSilver,Serbia
TCH,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Bronze,TCH1964Rowing Men's Coxed EightsBronze,Czech Republic
ROU,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver,"ROU1960Wrestling Men's Bantamweight, Greco-RomanSilver",Romania
ROU,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze,"ROU1964Wrestling Men's Bantamweight, Greco-RomanBronze",Romania
ITA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Silver,ITA2004Volleyball Men's VolleyballSilver,Italy
CRO,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,Gold,CRO2012Shooting Men's TrapGold,Croatia
TCH,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,TCH1968Ice Hockey Men's Ice HockeySilver,Czech Republic
TCH,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,"TCH1980Cycling Men's Team Pursuit, 4,000 metresBronze",Czech Republic
PER,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,Silver,PER1988Volleyball Women's VolleyballSilver,Peru
FRA,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Bantamweight,Bronze,FRA1924Boxing Men's BantamweightBronze,France
CUB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,CUB2000Athletics Men's 4 x 100 metres RelayBronze,Cuba
ITA,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's Coxed Pairs (1 kilometres),Silver,ITA1906Rowing Men's Coxed Pairs (1 kilometres)Silver,Italy
ITA,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Bronze,"ITA1906Fencing Men's Sabre, IndividualBronze",Italy
URS,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold,"URS1972Canoeing Men's Canadian Doubles, 1,000 metresGold",Russia
USA,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",Bronze,"USA1948Fencing Men's Sabre, TeamBronze",USA
GEO,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Heavyweight,Bronze,GEO2000Boxing Men's HeavyweightBronze,Georgia
KOR,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,Gold,KOR1992Handball Women's HandballGold,South Korea
KOR,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver,"KOR1988Shooting Men's Small-Bore Rifle, Prone, 50 metresSilver",South Korea
GEO,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze,"GEO2000Wrestling Men's Lightweight, Greco-RomanBronze",Georgia
ARG,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Featherweight,Bronze,ARG1996Boxing Men's FeatherweightBronze,Argentina
KOR,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold,KOR1994Short Track Speed Skating Men's 500 metresGold,South Korea
KOR,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Silver,"KOR1994Short Track Speed Skating Men's 1,000 metresSilver",South Korea
KOR,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver,"KOR1998Short Track Speed Skating Men's 5,000 metres RelaySilver",South Korea
GBR,1908 Summer,1908,Summer,London,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze,GBR1908Tug-Of-War Men's Tug-Of-WarBronze,UK
GBR,1912 Summer,1912,Summer,Stockholm,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver,GBR1912Tug-Of-War Men's Tug-Of-WarSilver,UK
FRA,1932 Summer,1932,Summer,Los Angeles,Cycling,Cycling Men's Sprint,Silver,FRA1932Cycling Men's SprintSilver,France
FRA,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,"FRA1932Cycling Men's Tandem Sprint, 2,000 metresGold",France
FRA,1936 Summer,1936,Summer,Berlin,Cycling,Cycling Men's Sprint,Bronze,FRA1936Cycling Men's SprintBronze,France
RUS,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Gold,RUS2008Boxing Men's HeavyweightGold,Russia
RUS,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold,"RUS2016Wrestling Men's Light-Heavyweight, Greco-RomanGold",Russia
CAN,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Women's 3,000 metres",Bronze,"CAN1992Athletics Women's 3,000 metresBronze",Canada
AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Gold,AUS2016Swimming Men's 100 metres FreestyleGold,Australia
AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,AUS2016Swimming Men's 4 x 100 metres Medley RelayBronze,Australia
TCH,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Single Sculls,Silver,TCH1992Rowing Men's Single ScullsSilver,Czech Republic
NZL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 800 metres,Bronze,NZL1964Athletics Women's 800 metresBronze,New Zealand
USA,1932 Summer,1932,Summer,Los Angeles,Equestrianism,"Equestrianism Men's Jumping, Individual",Silver,"USA1932Equestrianism Men's Jumping, IndividualSilver",USA
GBR,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver,"GBR1928Cycling Men's Tandem Sprint, 2,000 metresSilver",UK
GBR,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver,"GBR1932Cycling Men's Tandem Sprint, 2,000 metresSilver",UK
ITA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze,"ITA2016Wrestling Men's Welterweight, FreestyleBronze",Italy
USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Bronze,"USA2016Fencing Men's Foil, TeamBronze",USA
SUI,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver,"SUI1952Equestrianism Mixed Dressage, TeamSilver",Switzerland
SUI,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,"SUI1956Equestrianism Mixed Dressage, TeamBronze",Switzerland
SUI,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Individual",Gold,"SUI1964Equestrianism Mixed Dressage, IndividualGold",Switzerland
SUI,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver,"SUI1964Equestrianism Mixed Dressage, TeamSilver",Switzerland
SUI,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze,"SUI1968Equestrianism Mixed Dressage, TeamBronze",Switzerland
SUI,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Downhill,Gold,SUI1956Alpine Skiing Women's DownhillGold,Switzerland
FRA,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Marathon,Silver,FRA1900Athletics Men's MarathonSilver,France
CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Men's Singles,Silver,CAN2014Figure Skating Men's SinglesSilver,Canada
CAN,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Silver,CAN2014Figure Skating Mixed TeamSilver,Canada
MAS,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Silver,MAS2016Badminton Mixed DoublesSilver,Malaysia
USA,1952 Summer,1952,Summer,Helsinki,Sailing,Sailing Mixed 5.5 metres,Gold,USA1952Sailing Mixed 5.5 metresGold,USA
USA,1976 Summer,1976,Summer,Montreal,Diving,Diving Women's Springboard,Gold,USA1976Diving Women's SpringboardGold,USA
TPE,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Silver,TPE1992Baseball Men's BaseballSilver,Taiwan
KOR,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,Gold,KOR2016Archery Women's IndividualGold,South Korea
KOR,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Team,Gold,KOR2016Archery Women's TeamGold,South Korea
CHN,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,CHN2012Synchronized Swimming Women's TeamSilver,China
CHN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver,"CHN2008Wrestling Men's Middleweight, Greco-RomanSilver",China
CHN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,CHN1996Swimming Women's 4 x 100 metres Freestyle RelaySilver,China
FRA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,Bronze,FRA2000Rowing Men's Lightweight Double ScullsBronze,France
URS,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold,URS1976Cycling Men's 100 kilometres Team Time TrialGold,Russia
CAN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Bronze,CAN2012Football Women's FootballBronze,Canada
