NOC,Games,Year,Season,City,Sport,Event,Medal,NOC_Year_Event_Medal,region
HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver,"HUN1992Fencing Men's Sabre, TeamSilver",Hungary
HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,HUN1936Swimming Men's 4 x 200 metres Freestyle RelayBronze,Hungary
ITA,1936 Summer,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze,ITA1936Modern Pentathlon Men's IndividualBronze,Italy
ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold,ITA1988Rowing Men's Quadruple ScullsGold,Italy
ITA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold,ITA1996Rowing Men's Double ScullsGold,Italy
ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold,ITA2000Rowing Men's Quadruple ScullsGold,Italy
ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold,ITA1984Rowing Men's Coxed PairsGold,Italy
ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold,ITA1988Rowing Men's Coxed PairsGold,Italy
ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver,ITA1992Rowing Men's Coxed PairsSilver,Italy
GRE,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Bronze,GRE1906Football Men's FootballBronze,Greece
AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,AUS2008Hockey Men's HockeyBronze,Australia
USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze,USA2014Figure Skating Mixed TeamBronze,USA
USA,1900 Summer,1900,Summer,Paris,Golf,Golf Women's Individual,Gold,USA1900Golf Women's IndividualGold,USA
USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver,USA2008Softball Women's SoftballSilver,USA
USA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver,USA2004Taekwondo Women's FeatherweightSilver,USA
IRI,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,"IRI2016Wrestling Men's Middleweight, Greco-RomanBronze",Iran
CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,CAN1984Swimming Women's 4 x 100 metres Medley RelayBronze,Canada
PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold,PAK1960Hockey Men's HockeyGold,Pakistan
PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver,PAK1964Hockey Men's HockeySilver,Pakistan
URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,"URS1972Wrestling Men's Featherweight, FreestyleGold",Russia
UZB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold,UZB2000Boxing Men's Light-WelterweightGold,Uzbekistan
AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,"AZE1996Wrestling Men's Flyweight, FreestyleSilver",Azerbaijan
AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,"AZE2000Wrestling Men's Bantamweight, FreestyleGold",Azerbaijan
USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold,USA2000Basketball Men's BasketballGold,USA
TJK,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,"TJK2008Wrestling Men's Light-Heavyweight, FreestyleSilver",Tajikistan
EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold,EUN1992Athletics Men's Hammer ThrowGold,Russia
JPN,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,Gold,JPN1994Nordic Combined Men's TeamGold,Japan
ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze,"ETH1992Athletics Men's 10,000 metresBronze",Ethiopia
SUI,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Silver,SUI1924Football Men's FootballSilver,Switzerland
USA,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,USA1924Ice Hockey Men's Ice HockeySilver,USA
CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,CAN1952Ice Hockey Men's Ice HockeyGold,Canada
GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver,GDR1972Gymnastics Women's Team All-AroundSilver,Germany
CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze,CAN2012Diving Women's Synchronized SpringboardBronze,Canada
NOR,1920 Summer,1920,Summer,Antwerpen,Sailing,Sailing Mixed 7 metres,Silver,NOR1920Sailing Mixed 7 metresSilver,Norway
